Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg
1/1/2021,20.8,29.6,23.3,76,,3,5,330,3
1/2/2021,21.2,30,24.9,68,0.8,3.9,5,350,2
1/3/2021,21.4,30,24.1,74,1.8,2.3,4,300,2
1/4/2021,20.5,28.6,23,79,6.8,4.8,5,290,3
1/5/2021,20.4,28,23.4,80,7.2,2.6,5,280,2
1/6/2021,20.6,29.8,24.3,77,0,0.7,5,270,2
1/7/2021,21.8,28.2,24,79,,4.7,6,30,3
1/8/2021,21.2,29.6,24,80,3.2,2.2,4,310,2
1/9/2021,21.6,29.4,23.4,85,0.2,5.8,5,330,3
1/10/2021,21,28,23,88,19.3,3.7,5,250,2
1/11/2021,20.8,29,24,83,4.2,0.6,3,300,1
1/12/2021,20.8,30.4,23.6,83,2.2,6.2,8,290,3
1/13/2021,20.4,29,24.1,74,9.8,6.4,5,280,2
1/14/2021,21,27.2,22.9,85,3.5,5.7,4,260,3
1/15/2021,20.9,28.8,23.8,76,6.5,0.4,3,300,1
1/16/2021,20,29.2,22.8,76,,0.9,4,310,1
1/17/2021,19.4,29.4,23.4,78,36.4,2.1,5,100,3
1/18/2021,19,29,23.9,75,,6.5,5,320,3
1/19/2021,19.8,24.4,21.6,82,3.6,7.6,6,280,4
1/20/2021,20,26.6,22.5,87,2.3,0.3,4,270,2
1/21/2021,20.8,28.6,23.2,85,0.4,0.4,5,230,2
1/22/2021,20.6,29.8,23.7,77,2.4,3.8,5,180,2
1/23/2021,20.2,29.2,23.5,73,1,3.5,5,260,3
1/24/2021,20.2,27.2,23.1,84,0.3,4.6,6,240,3
1/25/2021,20.6,29.6,23.5,80,0.6,0,3,280,1
1/26/2021,20.6,29.4,23.7,84,9.2,4.8,7,290,2
1/27/2021,20.8,26.6,22.6,82,10.6,4.7,4,90,3
1/28/2021,20.6,27.6,22.8,81,,0.7,5,290,2
1/29/2021,20.7,26.4,21.6,87,3.6,2.8,5,290,4
1/30/2021,20.2,25.6,22.3,82,12.4,0.2,5,270,3
1/31/2021,20.4,26.2,22.9,83,0.3,0.4,3,290,2
2/1/2021,20.8,28.6,22.8,84,0.2,2.9,6,270,3
2/2/2021,,28,23.4,81,18.8,5.7,5,280,2
2/3/2021,20.6,26.4,22.6,86,8.2,5.9,7,250,4
2/4/2021,21,28.4,22.3,86,2,0.7,5,270,3
2/5/2021,20.6,27.6,23.4,82,20,5.5,3,260,2
2/6/2021,20.8,27,23.4,79,2.8,6.2,6,300,4
2/7/2021,20.8,27,22.5,92,12.2,1.6,5,330,2
2/8/2021,20.8,28.4,23.5,81,30.3,2.4,6,270,3
2/9/2021,21,27.6,23.8,80,0.8,4.3,6,270,3
2/10/2021,21,27.2,23.3,83,2.6,5.2,5,250,2
2/11/2021,20.4,30.4,24.4,74,,1.9,5,300,3
2/12/2021,20.4,30.6,25,73,0,8,4,270,2
2/13/2021,21.6,30.2,24.3,76,0,9.3,5,240,3
2/14/2021,21.4,29.6,24.5,80,0,5.8,6,270,3
2/15/2021,21.6,30,24.5,78,,4.7,5,270,3
2/16/2021,21.6,28.2,24.2,80,0,4.9,3,290,2
2/17/2021,22,26,23.5,77,0,3.6,5,240,2
2/18/2021,21.6,29,23,78,0.4,0,4,270,3
2/19/2021,20.4,24.8,21.6,88,8.4,2.1,4,300,2
2/20/2021,20.4,26.4,22.3,84,3.2,0.2,5,270,2
2/21/2021,20.2,28,23.4,82,17,2.1,5,280,3
2/22/2021,20.3,30.2,23.8,77,,5.4,5,270,2
2/23/2021,20.2,29.8,23.7,74,,6,4,270,2
2/24/2021,20.4,25.6,22.6,82,1.4,3.8,3,320,1
2/25/2021,20.4,28,23.5,79,1.6,0,9,330,4
2/26/2021,20.6,27.6,23.2,83,18.4,3.7,5,290,2
2/27/2021,20.2,29.4,24.1,76,5.6,4,4,40,2
2/28/2021,20.4,29.8,24.7,70,0,3.4,3,230,2
3/1/2021,22,32.2,25.9,65,0,4,5,290,3
3/2/2021,22,30,24.7,77,0.5,7.3,6,310,2
3/3/2021,21.6,30.2,23.9,80,0.2,6.1,6,240,2
3/4/2021,20,30.2,23.8,81,30.2,5.5,3,280,1
3/5/2021,,31,23.3,79,2.8,5.3,5,210,2
3/6/2021,20,30.4,23.4,83,29.6,3.9,6,290,2
3/7/2021,20.4,28.8,23.5,79,12.8,5.8,5,280,1
3/8/2021,20.6,28.4,22.9,83,4.5,0.4,3,270,1
3/9/2021,20,28.2,23,78,19.1,3.2,6,310,3
3/10/2021,19.8,28,23,80,,4.1,5,340,2
3/11/2021,20.2,28.4,23.9,76,,4.3,6,290,3
3/12/2021,20.8,30.2,23.9,83,13.2,7.5,6,270,1
3/13/2021,21.2,30.4,24.2,65,3.5,4.9,7,270,3
3/14/2021,20.5,30.2,24.1,67,0,6.1,6,300,3
3/15/2021,20.5,28.4,23.9,76,,7.5,3,80,2
3/16/2021,21.5,28.4,22.9,84,,1.2,2,350,1
3/17/2021,19.6,28.2,22.6,87,0.6,2.1,3,280,2
3/18/2021,20.2,28.8,22.5,84,20,2.2,5,330,1
3/19/2021,19.7,30.8,23.4,82,56.2,3.5,5,230,2
3/20/2021,19.2,28.9,22.8,83,2.2,6.1,5,290,2
3/21/2021,20.2,31.2,23.9,78,,3.7,5,300,2
3/22/2021,21.4,30.4,23.9,83,4,7.4,3,280,1
3/23/2021,21,31,24.1,81,7.8,4.6,6,330,2
3/24/2021,20.8,29.6,22.7,89,1.4,6.8,5,330,1
3/25/2021,20.4,31,23.3,81,18.3,4.1,5,20,2
3/26/2021,19.2,30,23.6,82,10.7,6.3,3,220,2
3/27/2021,19.5,28.4,23.9,86,5.3,5.5,7,320,1
3/28/2021,21.1,30.6,23.8,83,18.7,2.7,3,300,1
3/29/2021,20.6,30.4,24,84,32.4,6.4,5,260,3
3/30/2021,22.2,28.9,24.3,86,6.8,6,2,330,1
3/31/2021,20.6,29.6,23.9,84,8.2,1.8,3,150,1
4/1/2021,20.8,27.8,24.1,81,29.8,3.9,4,260,2
4/2/2021,20.4,30.4,25,74,0,4.2,6,330,2
4/3/2021,21,24.8,22.8,85,1.8,5.1,5,260,3
4/4/2021,19.7,29.8,24,78,1.2,0.1,8,270,3
4/5/2021,20.4,28.4,24.1,78,,6.7,6,270,3
4/6/2021,20.8,30,24.7,73,0.2,3.2,5,230,3
4/7/2021,22.4,28.6,24.4,74,,7.6,6,300,3
4/8/2021,21,30,24.6,63,,3.6,8,280,5
4/9/2021,20.4,30,23.9,76,0,7.9,5,280,2
4/10/2021,,30.6,24.8,78,3.8,9.1,6,330,3
4/11/2021,21.6,31,24.1,79,0,8.2,3,240,2
4/12/2021,19.8,30.4,23.5,79,3.4,4.2,3,270,1
4/13/2021,20.2,30,22.9,81,1.2,5.5,4,220,2
4/14/2021,21.6,28.6,22.1,91,5.8,5.5,3,360,1
4/15/2021,19.4,27,21.2,90,23.6,0,2,210,1
4/16/2021,19.8,28.8,23.1,86,35.1,4.6,3,150,1
4/17/2021,18,31,24.2,73,17.2,5.6,5,140,2
4/18/2021,19.8,31,24,79,,8.3,5,30,2
4/19/2021,21.2,31,24.1,80,17.5,4.8,4,150,2
4/20/2021,19.2,30.4,23.7,74,25.6,6.8,2,150,1
4/21/2021,18.2,31,23.5,66,0,7.6,4,140,2
4/22/2021,18.6,30.4,23.6,64,0,7.4,4,270,2
4/23/2021,18.8,30.8,23.9,76,0,9.3,5,270,2
4/24/2021,19.2,30.4,23.7,72,,9.2,3,310,2
4/25/2021,19.4,28.6,23.7,76,0.8,9.4,4,240,1
4/26/2021,20.1,30.6,24.2,73,0,5.5,3,60,1
4/27/2021,19.8,31,24.2,75,1,6.4,5,140,3
4/28/2021,21.4,29.8,23.5,82,5,7.6,2,150,1
4/29/2021,21.2,28,23.8,81,4.2,3.4,2,120,0
4/30/2021,20.8,28.2,22.9,84,,4.6,3,340,0
5/1/2021,19.8,29.4,23.4,81,7.5,4.5,3,260,1
5/2/2021,19.8,30.2,24,78,,5.1,4,280,2
5/3/2021,21,29.2,24,79,0,7.3,3,60,2
5/4/2021,19.4,29.8,23.6,78,,3.6,2,80,1
5/5/2021,20,29.4,24.6,82,0,6.4,3,280,1
5/6/2021,21.2,29.2,23.8,80,10.8,4.7,4,250,2
5/7/2021,20.2,29.4,23.6,81,5.2,5.3,4,250,1
5/8/2021,20.4,31.4,25,75,0.7,5.9,4,270,2
5/9/2021,21.2,31.4,25.8,76,0,5.7,3,270,1
5/10/2021,21,31,24.8,74,0,8.8,4,210,2
5/11/2021,20,30.4,24.3,75,0,8.8,4,300,2
5/12/2021,20,29.6,23.8,80,0.6,7.1,4,150,2
5/13/2021,19.8,29.8,24.1,76,0.2,3.9,3,290,1
5/14/2021,20.8,29.8,23.7,76,0,6.7,3,150,1
5/15/2021,20.2,30.4,23.6,81,26,5.9,5,150,1
5/16/2021,20,29.2,24.2,80,2.4,6,2,140,0
5/17/2021,20.2,30.4,24.9,81,1.9,1.9,3,280,1
5/18/2021,20.2,27.8,23.5,80,28,5.5,3,280,1
5/19/2021,,28,24.1,78,0,1.2,2,60,1
5/20/2021,20.2,30,23.7,78,,1.8,3,150,1
5/21/2021,20.4,30.2,24.4,82,0,6.3,5,180,1
5/22/2021,20.6,29.8,24.1,81,30.7,5.4,3,280,1
5/23/2021,20.8,30,24,80,12.4,7.4,3,240,1
5/24/2021,20.7,29.6,24.8,79,,7.1,3,60,1
5/25/2021,20.2,29,23.9,83,76.8,5.4,5,340,1
5/26/2021,19.4,30.2,23.5,77,0.5,5,7,120,2
5/27/2021,20.4,31,24.1,79,0,9.4,4,140,1
5/28/2021,19.5,30.4,23.7,74,,7.3,3,270,1
5/29/2021,20,28.2,23,88,,7.4,3,80,1
5/30/2021,21,29.8,24.5,80,35.2,3.1,3,300,1
5/31/2021,21,28.5,24.2,85,,8,3,290,1
6/1/2021,21.7,29,24.4,82,2,2.8,4,340,2
6/2/2021,20.8,30.2,23.9,82,1.6,4.6,4,30,1
6/3/2021,20.8,29.8,24.7,79,,7.4,3,260,1
6/4/2021,21.3,31.2,25,78,,7.5,2,60,1
6/5/2021,,30,24,72,0.3,6.3,3,270,2
6/6/2021,19.6,29.4,24.3,76,,9.8,5,230,2
6/7/2021,19.3,30.8,24.3,70,0.4,7.4,5,330,1
6/8/2021,19.6,30.8,24.5,72,0,8.7,3,280,1
6/9/2021,21.8,29.4,24.7,76,0,8.5,3,150,1
6/10/2021,21.8,28.4,24.6,78,0,5.9,4,240,1
6/11/2021,20.8,28.2,23.6,82,2.5,3.6,3,310,2
6/12/2021,20.6,30.8,24.2,80,31.6,4.3,3,120,0
6/13/2021,20.8,29.8,24.6,78,0,6.2,3,150,1
6/14/2021,20.2,28.8,23.4,77,0,7.3,3,300,1
6/15/2021,19.4,26.4,22.7,82,0,4.4,2,60,0
6/16/2021,19.8,28.6,22.7,85,,0,5,310,2
6/17/2021,20.4,30.4,23.5,78,0.2,5.1,3,290,1
6/18/2021,20,29.8,23.3,82,0,3.2,5,90,1
6/19/2021,21,26.6,22.6,86,1.2,6.3,5,290,1
6/20/2021,20,27,21.8,87,11.2,0.2,3,150,1
6/21/2021,18.5,27.8,21.7,84,19.7,5.3,4,100,1
6/22/2021,18.2,28.8,22.6,80,14.6,4.2,2,260,0
6/23/2021,18.4,26.6,23.1,86,1,7.3,2,90,1
6/24/2021,20.8,26.4,22.9,86,2.2,0,3,80,1
6/25/2021,20,28.8,23.5,81,,0,3,150,1
6/26/2021,19.8,27.4,22.7,84,2.9,4.6,3,240,1
6/27/2021,19.8,28.6,23.2,80,0.7,5.4,3,160,1
6/28/2021,20,27.2,22.7,86,0,7.4,3,90,1
6/29/2021,19.8,28.8,23.1,79,0.2,2.4,2,120,1
6/30/2021,19.7,28.4,22.3,82,0.1,5.8,3,240,1
7/1/2021,20,27.6,22.5,86,2,6,3,90,2
7/2/2021,18,29.6,22.5,82,20.4,1.5,3,300,1
7/3/2021,18.2,29.6,23.1,74,0,7.7,3,320,1
7/4/2021,18.8,30.2,23.3,74,0,8.7,3,150,1
7/5/2021,19,30.6,24.2,74,0,8.8,4,130,2
7/6/2021,17.6,30.2,22.8,65,,9.2,5,90,3
7/7/2021,17.8,29,22.1,73,0,9,3,130,1
7/8/2021,17.4,30,22.3,67,0,8.5,2,120,1
7/9/2021,17.6,29.6,23.4,74,,8.2,3,200,1
