Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
1/1/2021,25,30,27,80,13.8,0,4,310,1,C 
1/2/2021,25,31.2,27.6,78,,2.5,6,290,2,C 
1/3/2021,25,32.4,27.9,77,,3.5,8,320,2,C 
1/4/2021,25.6,32.6,28.8,75,9.4,2.7,7,260,2,C 
1/5/2021,26.2,29.6,28.4,76,0,5.2,5,310,1,C 
1/6/2021,24,30.6,27.2,85,8.2,2.6,10,260,1,C 
1/7/2021,24,29.8,26.8,84,40.5,,3,320,1,C 
1/8/2021,25,30.2,27.1,85,2,0,8,320,2,C 
1/9/2021,25.6,32,26.4,87,14.4,0.6,5,300,1,C 
1/10/2021,24.6,31,27.1,82,34.3,4,4,280,1,C 
1/11/2021,24.6,30.8,27.8,78,,0,5,300,2,NW
1/12/2021,25,30,27.3,82,,5,5,240,2,W 
1/13/2021,25.6,29,27.2,83,13.2,0.3,5,290,2,C 
1/14/2021,26,29.4,27.4,81,0.2,1,8,300,2,C 
1/15/2021,25,29.8,27.9,79,,0,5,300,2,C 
1/16/2021,25.6,34.2,29.2,70,,0.4,10,260,2,W 
1/17/2021,25.6,30.4,27.9,82,0,5.5,6,310,2,NW
1/18/2021,26.2,28.8,26.8,86,1.8,2.2,7,250,2,C 
1/19/2021,24,29.4,26.7,82,15.7,0,6,300,2,C 
1/20/2021,24.8,29.8,27.3,80,14,1.4,9,340,3,C 
1/21/2021,24.8,28.4,26.6,87,3.2,3.6,4,300,1,C 
1/22/2021,25.6,29.4,27,79,8.5,0.5,7,260,1,C 
1/23/2021,25.4,30.8,27.4,82,0,0.4,6,260,2,C 
1/24/2021,24,27.6,25.1,94,16.5,1.4,3,290,1,C 
1/25/2021,24,30.4,27.6,80,43.8,0,4,330,1,C 
1/26/2021,,31.8,27.4,83,0,6,5,280,2,C 
1/27/2021,23.4,30,25.9,86,7,3.1,6,260,2,W 
1/28/2021,24,28.8,25.7,87,1.2,0.2,6,210,2,C 
1/29/2021,24,29.4,26.2,87,38.4,0.3,4,290,1,C 
1/30/2021,24.2,29.8,26.6,86,26.2,2.8,5,290,2,C 
1/31/2021,24.2,29.2,26.6,87,20.5,1.3,4,300,1,C 
2/1/2021,24.8,30.4,27.1,82,0.4,0.2,7,340,2,C 
2/2/2021,25.4,29.8,27.4,83,16.4,4,5,340,2,C 
2/3/2021,24.2,29.4,26.5,89,76.2,6.5,7,290,1,C 
2/4/2021,24.2,29.8,26.5,87,18,0.3,10,320,3,C 
2/5/2021,25,29.6,27,85,21,6.4,7,280,3,NW
2/6/2021,24.6,30,28.2,80,39.4,4,5,300,2,NW
2/7/2021,25.8,30.2,27.8,82,67.8,7.6,8,350,3,C 
2/8/2021,25,30.2,28,83,9,4.4,8,330,2,C 
2/9/2021,24.2,30.2,27.2,87,16.5,3.5,4,270,1,C 
2/10/2021,25.4,30.8,28.1,80,1.4,5.8,7,200,2,C 
2/11/2021,25.8,32,27.6,81,,2.8,5,290,2,C 
2/12/2021,25.4,29.6,27.4,82,4.2,4,5,330,2,NW
2/13/2021,25.2,31,27.9,79,0.8,3,6,340,2,C 
2/14/2021,26,29.2,27.3,88,22.3,4.2,3,270,1,C 
2/15/2021,25.2,30.6,27.4,86,11.8,1.2,7,340,2,C 
2/16/2021,24.2,28.2,25.5,95,59,4.1,3,330,1,C 
2/17/2021,23.8,29,26,85,72.8,0,5,340,1,C 
2/18/2021,24.4,30,25.8,86,0,0,5,310,2,C 
2/19/2021,24.5,29.4,26.6,82,94.1,2,7,340,2,C 
2/20/2021,,30,27.9,78,27,2.6,7,320,3,NW
2/21/2021,24.8,30.2,27.2,82,16.4,3.5,9,330,2,C 
2/22/2021,25.4,30.4,27.9,78,0,8.4,6,300,2,NW
2/23/2021,26.4,31,27.9,80,0,5.5,10,340,3,C 
2/24/2021,24,32.4,27.3,77,0.3,5.4,8,300,2,C 
2/25/2021,24.6,30,27.3,85,11.8,3.2,10,320,3,NW
2/26/2021,24,29.6,26.8,86,13.9,3.4,3,310,1,C 
2/27/2021,25,31.6,28.1,82,3.9,1.2,5,320,1,C 
2/28/2021,26,34,29.5,70,,5,6,270,2,W 
3/1/2021,26.2,33.4,29.3,72,0.2,3.5,8,330,3,C 
3/2/2021,24.8,30.8,27.3,82,20.4,5.8,3,310,1,C 
3/3/2021,24.6,31.4,27.7,82,35.2,4.5,7,260,1,C 
3/4/2021,25,31.6,28.3,78,1.3,5.9,4,310,1,C 
3/5/2021,25.4,31.6,27.4,82,3,3,10,320,2,C 
3/6/2021,25.8,30.4,26.8,86,0.6,4.2,3,300,1,C 
3/7/2021,24.2,30.6,27.1,85,67.2,5,8,330,2,C 
3/8/2021,,31.4,27,80,2,0.2,5,250,2,W 
3/9/2021,24.8,30.4,27.3,80,3.4,2,5,330,1,C 
3/10/2021,25,30.6,27.4,83,40.6,3.5,9,330,2,C 
3/11/2021,23,30.2,26,82,35.1,5.6,5,290,1,C 
3/12/2021,23.4,29.6,27.4,83,1,3.3,6,340,2,C 
3/13/2021,25.8,32.8,28.7,74,0.1,2.1,6,330,2,C 
3/14/2021,25,30.8,26.9,79,2.6,5,4,250,1,C 
3/15/2021,25,30.2,27.6,84,5.2,4.8,4,250,1,C 
3/16/2021,25,32.2,27.8,82,,0,5,310,1,C 
3/17/2021,24.8,32,28.1,76,13.6,4,8,320,2,C 
3/18/2021,26.4,32,29,74,0,8.2,4,300,1,C 
3/19/2021,27,31.6,28.9,76,0,7,7,290,2,C 
3/20/2021,25,31.8,27.8,80,,4.6,5,330,3,W 
3/21/2021,26,32.8,28.4,79,4,3.6,6,330,2,NW
3/22/2021,26.2,32.8,29.3,73,,8,5,320,2,C 
3/23/2021,26.8,33.8,29.1,75,0,8,8,280,2,C 
3/24/2021,26.4,33.2,28.9,72,,8,6,270,3,W 
3/25/2021,27,31.4,28.8,72,,5,5,320,1,C 
3/26/2021,26,32.6,28.8,76,0,5,7,320,2,C 
3/27/2021,26.8,32,28.3,82,0,8.4,5,290,2,C 
3/28/2021,25,32.8,28.8,79,4.5,2.3,5,310,1,C 
3/29/2021,26.4,32,28.3,82,,8.5,8,330,2,C 
3/30/2021,27,29.4,27.8,86,3.5,1.3,2,70,1,C 
3/31/2021,26,33,28.5,79,0.6,1,6,290,2,C 
4/1/2021,25,30.4,27.8,76,4,7,3,260,1,W 
4/2/2021,25.8,32.2,29,73,,0.2,7,320,2,C 
4/3/2021,25,29.8,26.9,88,73.4,8,2,130,1,C 
4/4/2021,25.2,30.2,27.7,84,1.6,0,4,290,1,C 
4/5/2021,25,32,28.5,78,,0.4,4,320,2,C 
4/6/2021,26,33.4,29,71,,1.5,10,250,5,W 
4/7/2021,25.4,30.4,27.8,76,0.8,5.6,9,260,2,W 
4/8/2021,25.6,33.4,29.1,75,0.9,0.8,6,280,1,C 
4/9/2021,25.6,31.8,28.6,78,,6.7,6,330,2,C 
4/10/2021,24.4,31.6,27.6,81,6,6.5,5,320,1,C 
4/11/2021,25.2,31.6,28.1,77,0,3.3,3,300,1,C 
4/12/2021,26,33.6,28.7,74,1.2,3.5,7,290,2,C 
4/13/2021,25,32.8,28,80,25.5,5.8,5,310,1,C 
4/14/2021,25.6,31.8,28,81,,6,7,340,1,C 
4/15/2021,25,31.8,27.3,82,3.4,5.6,3,320,1,C 
4/16/2021,25.4,31.8,28.3,78,2.7,5.5,5,230,1,C 
4/17/2021,26,31.4,27.6,84,,6.8,5,320,1,C 
4/18/2021,25.8,31.8,28.6,78,27.7,2.5,5,320,1,C 
4/19/2021,26.4,32,28.7,76,0,4.2,3,320,1,C 
4/20/2021,26.2,32.8,29.1,73,0,6.3,4,300,1,C 
4/21/2021,25.6,33.2,29.3,72,,4,6,340,1,C 
4/22/2021,26.4,33,29.3,68,,7,6,320,2,C 
4/23/2021,26.8,32.2,28.2,76,0,7,4,280,1,C 
4/24/2021,25.4,32.6,28.5,74,10.5,7,7,290,2,C 
4/25/2021,25,32.8,29.3,73,,6.8,3,10,1,C 
4/26/2021,26.8,34.2,30.2,70,,6.8,8,340,2,C 
4/27/2021,27.2,34.2,29.9,73,0,6.5,3,120,1,C 
4/28/2021,26.4,32.2,28.8,78,0,7,5,340,1,C 
4/29/2021,25.4,33.4,29,76,56.2,3,5,270,1,C 
4/30/2021,25.2,32,28.6,80,,6.8,4,340,1,C 
5/1/2021,26.6,33.4,29.7,76,0,1.8,3,150,1,C 
5/2/2021,27.2,33.6,29.8,76,0,6,5,330,1,C 
5/3/2021,26,33,29.7,76,,5.8,4,140,2,E 
5/4/2021,26.6,32.8,29.5,72,,4,5,330,1,C 
5/5/2021,27.4,32.4,29.5,78,0,2.7,5,330,1,C 
5/6/2021,26,32.4,27.6,81,36.8,4,6,250,2,C 
5/7/2021,25,32.8,28.8,80,4,2.5,6,350,1,C 
5/8/2021,25.8,33.2,29.2,78,0.4,6,7,330,2,C 
5/9/2021,24.6,32.4,28.4,80,47,4,4,300,1,C 
5/10/2021,25.4,33.6,29.7,76,3.5,6.6,5,280,1,C 
5/11/2021,25.6,34.8,29.9,73,,6.5,4,340,2,C 
5/12/2021,27.2,33.8,30.1,74,,6.5,5,150,1,C 
5/13/2021,27.2,33.6,29.6,76,0,6.6,3,350,2,C 
5/14/2021,26.8,34.4,29.8,71,,5.6,5,250,2,C 
5/15/2021,26,33.4,29.8,72,,5.5,3,70,1,C 
5/16/2021,27.6,33.4,30.1,72,0,6.8,3,300,1,C 
5/17/2021,28,33,29.8,75,0,6.4,7,320,2,C 
5/18/2021,23.4,31.6,27.3,82,92.2,2.4,4,290,1,C 
5/19/2021,,32.8,29.1,77,,2.6,5,340,1,C 
5/20/2021,26.6,33.2,29.6,74,,4.2,5,320,2,NW
5/21/2021,27,33.4,29.1,77,0.2,5,5,320,1,C 
5/22/2021,27,32.6,28.9,76,0,6.5,5,320,1,C 
